timestamp,readableTimestamp,m&r-1,m&r-2,m&r-5,m&r-10,m&r-20,m&r-50,m&r-100,basket-1,basket-2,basket-5,basket-10,basket-20,basket-50,basket-100
1619308800000,"4/25/2021, 12:00:00 AM",1.7370206330030045,1.9172449398934837,2.0871364299277655,2.1717081646407776,2.2357774506020855,2.3081709176702705,2.3634396007555294,1.727392483752386,2.361660669262977,2.8823037358365253,4.029267239371857,3.307044986812939,4.870845322601167,5.603368736002785
1619395200000,"4/26/2021, 12:00:00 AM",1.6971992296066425,1.8963217992480659,2.064475483370406,2.1493351888143186,2.215426998218889,2.288199312900707,2.342584872071016,1.6877105390066771,2.405798410570157,2.895740668145117,4.0395062716193095,3.3022554446920833,4.807632140866734,5.593708258735243
1619481600000,"4/27/2021, 12:00:00 AM",1.8693338346192927,2.087040333935711,2.2836885713862336,2.3768742965843237,2.449120687607745,2.5343049127882997,2.5997008847864236,1.859900329878209,2.6442263154569434,3.4017843377641777,4.524941187463124,3.7473469044005028,5.396419493069598,6.347958270148269
1619568000000,"4/28/2021, 12:00:00 AM",1.904978516553321,2.1392238479944368,2.3490120496434237,2.4448204506441416,2.520538814402106,2.6156365612568924,2.687696554897187,1.8948047021305003,2.7393719451306526,3.519284022955226,4.756438482144215,3.9217474544508066,5.649923936881357,6.736416554726043
1619654400000,"4/29/2021, 12:00:00 AM",1.8994319350604996,2.1524160447011695,2.3581059264381636,2.4653388724120946,2.538527410414968,2.631467240419988,2.7009886921299797,1.8885612185767249,2.805045264915604,3.4986360804631773,4.74920784580417,3.899096967648118,5.830066420753175,6.792635475990288
1619740800000,"4/30/2021, 12:00:00 AM",1.8574396654635692,2.1186788574314006,2.3366862752932027,2.4421877345353225,2.5139501599290934,2.6087258495966257,2.6779599906787412,1.8467345929841157,2.7900301157905214,3.558071547191636,4.85674444706895,3.9467154896091996,5.746939351041641,6.706201845263121
1619827200000,"5/1/2021, 12:00:00 AM",2.0071290013253664,2.2516956229118215,2.486388064145854,2.597114346235958,2.671483085084216,2.771098395658453,2.8448899463821644,1.9925462801467482,2.8759373938107875,3.810133376392756,5.144049126522365,4.179108356640326,6.128715361439316,7.099637240690118
1619913600000,"5/2/2021, 12:00:00 AM",2.003747531904333,2.280165491904064,2.52766352755183,2.638308975119297,2.721359615116297,2.82541836616765,2.9003315277491133,1.9920107405326726,2.9895400397300813,3.927376075286182,5.221936434857682,4.325301933949533,6.541093026794413,7.343706195139752
1620000000000,"5/3/2021, 12:00:00 AM",1.961022861751238,2.2451618371278754,2.4853378626424725,2.5958831671103244,2.681106133397827,2.7840904430651334,2.8586126287735962,1.9502422064366052,2.974328808547522,3.819578787409434,5.140966228373446,4.301324071164032,6.457963564848083,7.222301849460468
1620086400000,"5/4/2021, 12:00:00 AM",1.982750905484339,2.354268515235852,2.61437347359912,2.726788713815069,2.8098415972146147,2.91913810918456,2.9938347341117124,1.970900547280603,3.3140287910281465,4.007496310830059,5.4506182306966044,4.486814555093498,6.947862570109355,7.558813252518809
