timestamp,readableTimestamp,moonRug10,moonRug20,moonRug50,moonRug100,equalWeight10,equalWeight20,equalWeight50,equalWeight100,squareRoot10,squareRoot20,squareRoot50,squareRoot100,moonRug10_cap20p,moonRug20_cap10p,moonRug20_cap20p,moonRug50_cap5p,moonRug50_cap10p,moonRug50_cap20p,moonRug100_cap5p,moonRug100_cap10p,moonRug100_cap20p
1613347200000,"2/15/2021, 12:00:00 AM",1.93890494,1.9631266,2.00133346,2.04348182,2.58503024,2.48894137,2.63790029,3.06669004,2.2773314,2.31071332,2.43326194,2.67154579,2.42951072,2.511668,2.3945835,2.57980781,2.51588792,2.40472674,2.68804784,2.59666815,2.46531191
1613433600000,"2/16/2021, 12:00:00 AM",1.90540154,1.92701127,1.9646796,2.00682475,2.52176804,2.42257575,2.58437993,3.01685015,2.22862085,2.25578141,2.38173971,2.62234223,2.37389398,2.44932512,2.33787378,2.51843615,2.45652965,2.35256809,2.63025871,2.54028846,2.4153872
1613520000000,"2/17/2021, 12:00:00 AM",1.94075167,1.96022085,1.99632779,2.0408252,2.54604251,2.43495201,2.59930012,3.07726373,2.25872301,2.27866229,2.40203281,2.66345153,2.4067176,2.47613912,2.36487588,2.53399554,2.4810765,2.37759726,2.66051186,2.57378768,2.44713065
1613606400000,"2/18/2021, 12:00:00 AM",2.04939113,2.06552415,2.10415849,2.14974624,2.708681,2.54773886,2.74244564,3.23356908,2.39560507,2.3963292,2.53249639,2.80120351,2.56021294,2.61651249,2.49688042,2.66939825,2.62505627,2.50882375,2.80295074,2.71760754,2.57823721
1613692800000,"2/19/2021, 12:00:00 AM",2.07729003,2.09344962,2.13711122,2.19082119,2.76497885,2.5846381,2.81438056,3.3955055,2.44694007,2.4409702,2.5943078,2.90824495,2.62973645,2.6818602,2.55865705,2.73248941,2.69565892,2.57510986,2.89354425,2.80586173,2.65776197
1613779200000,"2/20/2021, 12:00:00 AM",2.24236044,2.25231653,2.29999594,2.35511937,3.04609192,2.74550115,3.00651367,3.6126381,2.67192699,2.62499512,2.78991163,3.11258917,2.870105,2.94847462,2.76632766,2.95194887,2.93753555,2.77517107,3.12612118,3.032289,2.85239499
1613865600000,"2/21/2021, 12:00:00 AM",2.24196219,2.2533774,2.29262677,2.34482654,3.00918967,2.73695172,2.94011569,3.52799002,2.6629424,2.62344707,2.75187958,3.06152779,2.89295433,2.94837061,2.78162328,2.90081029,2.92593584,2.76721273,3.07565333,3.02183353,2.839136
1613952000000,"2/22/2021, 12:00:00 AM",2.29105052,2.30529851,2.35020533,2.41005166,3.09752558,2.84824215,3.0616033,3.74239888,2.72914785,2.7019102,2.84807293,3.20423806,2.95286073,3.043368,2.84590675,3.00950206,3.01102619,2.83916241,3.20607213,3.12328949,2.92335988
1614038400000,"2/23/2021, 12:00:00 AM",2.17038079,2.18896225,2.23467056,2.29120321,2.96943933,2.77371786,2.96150562,3.58607539,2.61305231,2.60522006,2.7455,3.07306404,2.85212798,2.95582481,2.74546439,2.90697805,2.92144976,2.73013461,3.08646025,3.01663123,2.80152071
1614124800000,"2/24/2021, 12:00:00 AM",1.93210709,1.94617389,1.98578233,2.03443096,2.59375614,2.41268639,2.6099639,3.15197648,2.31250479,2.29600862,2.42479134,2.70927171,2.54648656,2.60755184,2.44255924,2.55461173,2.59851461,2.42567262,2.71742769,2.67901917,2.48605104
